                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1801,                 2.0355,                 1.4079,                0.25526,                0.00403,                0.01188,                0.01002,                    nan,                    nan,                    nan,             0.00030231,             0.00030231,             0.00030231
                      2,                  1.345,                 1.9096,                 1.5452,                0.02329,                0.00501,                0.01314,                0.00682,                    nan,                    nan,                    nan,             0.00060132,             0.00060132,             0.00060132
                      3,                 1.3674,                  1.902,                 1.5684,                0.62181,                0.00403,                 0.0098,                 0.0065,                    nan,                    nan,                    nan,             0.00089632,             0.00089632,             0.00089632
                      4,                 1.3273,                 1.8196,                 1.5189,                0.63392,                0.00501,                0.01195,                0.00901,                    nan,                    nan,                    nan,               0.000891,               0.000891,               0.000891
                      5,                 1.2858,                 1.6937,                 1.4976,                0.76557,                0.00501,                0.01499,                0.00984,                    nan,                    nan,                    nan,               0.000891,               0.000891,               0.000891
                      6,                 1.2382,                 1.5854,                 1.4661,                0.33537,                0.00501,                0.01254,                 0.0095,                    nan,                    nan,                    nan,               0.000885,               0.000885,               0.000885
                      7,                 1.2113,                 1.4932,                 1.4724,                0.35207,                0.00501,                0.01816,                0.01461,                    nan,                    nan,                    nan,               0.000879,               0.000879,               0.000879
                      8,                  1.175,                 1.4353,                 1.4213,                0.50527,                0.00501,                0.01537,                0.01215,                    nan,                    nan,                    nan,               0.000873,               0.000873,               0.000873
                      9,                 1.1558,                 1.4078,                 1.4079,                0.80238,                0.00501,                0.01143,                0.00729,                    nan,                    nan,                    nan,               0.000867,               0.000867,               0.000867
                     10,                 1.1508,                 1.3003,                 1.3737,                0.73179,                  0.005,                0.03029,                0.02258,                    nan,                    nan,                    nan,               0.000861,               0.000861,               0.000861
                     11,                 1.0952,                 1.2711,                 1.3596,                0.58868,                0.00501,                0.01813,                0.01434,                    nan,                    nan,                    nan,             0.00085501,             0.00085501,             0.00085501
                     12,                 1.0837,                 1.2076,                 1.3516,                0.03145,                0.00501,                0.01894,                0.01462,                    nan,                    nan,                    nan,             0.00084901,             0.00084901,             0.00084901
                     13,                 1.0835,                 1.1828,                 1.3575,                0.48933,                0.00501,                0.02837,                 0.0218,                    nan,                    nan,                    nan,             0.00084301,             0.00084301,             0.00084301
                     14,                 1.0463,                 1.1263,                 1.3286,                0.61041,                0.00498,                0.02296,                0.01768,                    nan,                    nan,                    nan,             0.00083701,             0.00083701,             0.00083701
                     15,                 1.0351,                 1.1226,                 1.3115,                0.53539,                0.00501,                0.01528,                0.01247,                    nan,                    nan,                    nan,             0.00083101,             0.00083101,             0.00083101
                     16,                0.99479,                  1.092,                 1.3018,                0.38332,                0.00501,                0.02079,                0.01551,                    nan,                    nan,                    nan,             0.00082501,             0.00082501,             0.00082501
